"시도별",2012,2013,2014,2015,2016,2017,2018,2019
"전국",15711,16432,17006,18063,18520,19204,19910,20661
"서울특별시",18795,19525,19832,20857,21295,22237,23323,23978
"부산광역시",15098,15651,16147,17044,17525,18189,18868,19723
"대구광역시",14554,15320,16031,17226,17848,18350,18555,19196
"인천광역시",14181,14829,15507,16598,17222,17884,18659,19582
"광주광역시",14662,15454,16225,17459,18232,18926,19868,20791
"대전광역시",15537,16253,16946,18229,18741,19314,19649,20648
"울산광역시",18941,19782,20142,21348,21422,21956,21655,22617
"세종특별자치시",-,17607,22944,21957,21000,21404,20990,20674
"경기도",15647,16399,16969,18069,18611,19375,19907,20746
"강원도",13712,14394,15152,16311,16798,17484,18450,19174
"충청북도",14111,14707,15558,16531,16915,17465,18440,18989
"충청남도",13948,14892,15509,16703,16952,17788,18458,19216
"전라북도",13915,14628,15548,16239,16499,17059,18141,18941
"전라남도",13982,14575,15039,16067,16528,17043,18207,19072
"경상북도",14283,15052,15738,16550,16894,17428,18185,18748
"경상남도",14931,15646,16272,17411,17744,18011,18466,19078
"제주특별자치도",14383,14829,15329,16685,17366,17816,18456,18815
